strain,condition,slevel,rep,batch,time,N,CCNA_00001,CCNA_00002,CCNA_00003,CCNA_00004,CCNA_00005,CCNA_00006,CCNA_00007,CCNA_00008,CCNA_00009,CCNA_00010
DCLPA,canavanine,HIGH,1,2,24,62299,0,52,30,0,0,9,3,0,13,3
DCLPA,canavanine,HIGH,2,3,24,34676,1,42,30,0,0,4,1,0,9,2
DCLPA,canavanine,HIGH,3,4,24,46776,0,39,31,0,0,6,1,0,11,4
DCLPA,canavanine,LOW,1,1,24,67498,0,61,61,0,0,14,2,0,13,3
DCLPA,canavanine,LOW,2,2,24,65113,1,60,36,0,0,13,1,0,13,3
DCLPA,canavanine,LOW,3,3,24,43450,0,50,34,0,0,9,1,0,10,3
DCLPA,canavanine,LOW,4,4,24,43840,0,41,30,0,0,5,1,0,10,4
DCLPA,canavanine,MEDIUM,1,1,24,69177,0,65,55,0,0,13,3,0,14,5
DCLPA,canavanine,MEDIUM,2,2,24,63081,3,47,34,0,0,5,1,0,15,3
DCLPA,canavanine,MEDIUM,3,3,24,43750,1,38,44,0,0,5,1,0,12,3
DCLPA,canavanine,MEDIUM,4,4,24,43905,1,47,34,0,1,5,1,0,8,3
DCLPA,heat,HIGH,1,1,24,56596,0,56,41,0,1,17,2,0,11,4
DCLPA,heat,HIGH,2,2,24,58998,1,56,38,0,0,10,1,0,13,3
DCLPA,heat,HIGH,3,3,24,34671,0,36,31,0,0,7,1,0,9,3
DCLPA,heat,HIGH,4,4,24,37762,0,37,28,0,0,6,1,0,10,3
DCLPA,heat,LOW,1,2,24,51031,1,41,16,0,0,9,1,0,22,9
DCLPA,heat,LOW,2,2,24,71644,1,59,40,0,0,16,1,0,17,7
DCLPA,heat,LOW,3,3,24,37302,0,40,30,0,0,5,1,0,9,2
DCLPA,heat,LOW,4,4,24,40272,0,41,26,0,2,10,1,0,8,3
DCLPA,heat,MEDIUM,1,1,24,58663,0,73,34,0,0,6,2,0,15,1
DCLPA,heat,MEDIUM,2,2,24,58515,0,50,32,0,0,12,1,0,14,3
DCLPA,heat,MEDIUM,3,3,24,37874,0,37,20,0,0,6,1,0,12,3
DCLPA,heat,MEDIUM,4,4,24,32205,0,22,15,0,4,3,0,0,7,4
