locus_tag	ID	Name	Dbxref	gbkey	gene	description
CCNA_00001	gene1	CCNA_00001	GeneID:7332728	Gene	NA	ATP/GTP-binding protein;protein_id=YP_002515376.1;
CCNA_00002	gene2	CCNA_00002	GeneID:7333143	Gene	NA	septum formation protein Maf;protein_id=YP_002515377.1;
CCNA_00003	gene3	CCNA_00003	GeneID:7333144	Gene	NA	shikimate 5-dehydrogenase;protein_id=YP_002515378.1;
CCNA_00004	gene4	CCNA_00004	GeneID:7333145	Gene	NA	dephospho-CoA kinase;protein_id=YP_002515379.1;
CCNA_00005	gene5	dnaQ	GeneID:7333146	Gene	dnaQ	NA
CCNA_00006	gene6	CCNA_00006	GeneID:7333147	Gene	NA	enoyl-CoA hydratase;protein_id=YP_002515381.1;
CCNA_00007	gene8	CCNA_00007	GeneID:7333148	Gene	NA	SSU ribosomal protein S20P;protein_id=YP_002515382.2;
CCNA_00008	gene9	dnaA	GeneID:7333149	Gene	dnaA	NA
CCNA_00009	gene10	alkB	GeneID:7333150	Gene	alkB	NA
CCNA_00010	gene11	dnaK	GeneID:7333151	Gene	dnaK	chaperone protein DnaK;protein_id=YP_002515385.1;
CCNA_00011	gene12	dnaJ	GeneID:7333152	Gene	dnaJ	chaperone protein DnaJ;protein_id=YP_002515386.1;
CCNA_00012	gene13	mutS	GeneID:7333153	Gene	mutS	DNA mismatch repair protein MutS;protein_id=YP_002515387.1;
CCNA_00013	gene15	CCNA_00013	GeneID:7332895	Gene	NA	protein-PII uridylyltransferase;protein_id=YP_002515388.1;
CCNA_00014	gene16	moaC	GeneID:7332104	Gene	moaC	NA
CCNA_00015	gene17	moaB	GeneID:7332105	Gene	moaB	NA
CCNA_00016	gene18	moaE	GeneID:7332106	Gene	moaE	NA
CCNA_00017	gene19	moaD	GeneID:7332107	Gene	moaD	NA
CCNA_00018	gene20	moaA	GeneID:7332108	Gene	moaA	NA
CCNA_00019	gene21	CCNA_00019	GeneID:7332109	Gene	NA	NA
CCNA_00020	gene22	CCNA_00020	GeneID:7332110	Gene	NA	hypothetical protein;protein_id=YP_002515395.1;
CCNA_00021	gene24	CCNA_00021	GeneID:7332111	Gene	NA	putative aerobic-type carbon monoxide dehydrogenase%2C large subunit CoxL;protein_id=YP_002515396.1;
CCNA_00022	gene25	CCNA_00022	GeneID:7332112	Gene	NA	putative aerobic-type carbon monoxide dehydrogenase%2C small subunit CoxS;protein_id=YP_002515397.1;
CCNA_00023	gene26	CCNA_00023	GeneID:7332113	Gene	NA	putative periplasmic protein;protein_id=YP_002515398.2;
CCNA_00024	gene27	CCNA_00024	GeneID:7332114	Gene	NA	uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase;protein_id=YP_002515399.1;
CCNA_00025	gene28	CCNA_00025	GeneID:7332115	Gene	NA	major facilitator superfamily transporter;protein_id=YP_002515400.1;
CCNA_00026	gene29	CCNA_00026	GeneID:7332116	Gene	NA	PAS-family sensor histidine kinase;protein_id=YP_002515401.1;
CCNA_00027	gene30	CCNA_00027	GeneID:7332117	Gene	NA	2OG-Fe(II) oxygenase;protein_id=YP_002515402.1;
CCNA_00028	gene32	CCNA_00028	GeneID:7332118	Gene	NA	TonB-dependent receptor;protein_id=YP_002515403.2;
